Rk,Player,Pos,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alex Abrines\abrinal01,SG,75,1134,.540,.848,114,28,38,8,25,124,353
2,Quincy Acy\acyqu01,PF,70,1359,.496,.817,257,57,33,29,60,149,411
3,Steven Adams\adamsst01,C,76,2487,.629,.559,685,88,92,78,128,215,1056
4,Bam Adebayo\adebaba01,C,69,1368,.512,.721,381,101,32,41,66,138,477
5,Arron Afflalo\afflaar01,SG,53,682,.485,.846,66,30,4,9,21,56,179
6,Cole Aldrich\aldrico01,C,21,49,.333,.333,15,3,2,1,1,11,12
7,LaMarcus Aldridge\aldrila01,C,75,2509,.520,.837,635,152,43,90,111,161,1735
8,Jarrett Allen\allenja01,C,72,1441,.596,.776,388,49,28,88,82,147,587
9,Kadeem Allen\allenka01,PG,18,107,.273,.778,11,12,3,2,9,15,19
10,Tony Allen\allento01,SF,22,273,.505,.524,47,9,11,3,19,49,103
11,Al-Farouq Aminu\aminual01,PF,69,2072,.503,.738,525,84,79,40,79,136,644
12,Justin Anderson\anderju01,SF,38,519,.515,.737,93,25,15,7,16,54,236
13,Kyle Anderson\anderky01,SF,74,1978,.549,.712,396,202,115,60,94,114,585
14,Ryan Anderson\anderry01,PF,66,1725,.568,.774,331,60,24,21,42,126,617
15,Ike Anigbogu\anigbik01,C,11,30,.444,.833,9,0,1,3,2,1,13
16,Giannis Antetokounmpo\antetgi01,PF,75,2756,.545,.760,753,361,109,106,223,231,2014
17,Carmelo Anthony\anthoca01,PF,78,2501,.476,.767,453,103,47,49,99,197,1261
18,OG Anunoby\anunoog01,SF,74,1481,.577,.629,184,55,52,14,45,130,438
19,Ryan Arcidiacono\arcidry01,PG,24,304,.524,.833,25,35,13,0,13,18,48
20,Trevor Ariza\arizatr01,SF,67,2269,.542,.854,294,105,98,13,52,132,782
21,Darrell Arthur\arthuda01,PF,19,141,.553,.667,15,9,8,3,15,22,54
22,Jamel Artis\artisja01,SG,15,279,.443,.583,38,18,2,3,8,11,77
23,Omer Asik\asikom01,C,18,182,.409,.308,47,3,2,4,9,20,22
23,Omer Asik\asikom01,C,14,121,.438,.333,37,2,1,2,5,14,18
23,Omer Asik\asikom01,C,4,61,.333,.000,10,1,1,2,4,6,4
24,D.J. Augustin\augusdj01,PG,75,1760,.557,.868,160,287,54,0,123,94,766
25,Luke Babbitt\babbilu01,SF,50,715,.563,.773,96,31,8,7,19,54,259
25,Luke Babbitt\babbilu01,SF,37,570,.622,.773,81,26,7,5,15,47,226
25,Luke Babbitt\babbilu01,SF,13,145,.351,,15,5,1,2,4,7,33
26,Dwayne Bacon\bacondw01,SG,53,713,.404,.800,124,38,16,2,23,46,175
27,Ron Baker\bakerro01,SG,29,385,.432,.769,30,47,26,6,18,33,71
28,Wade Baldwin\baldwwa01,PG,7,80,.762,.600,8,5,2,1,4,12,38
29,Lonzo Ball\balllo01,PG,52,1780,.440,.451,360,376,88,43,136,117,528
30,J.J. Barea\bareajo01,PG,69,1603,.522,.784,201,434,35,3,143,83,801
31,Harrison Barnes\barneha02,PF,77,2634,.494,.827,468,152,49,14,118,94,1452
32,Will Barton\bartowi01,SG,81,2683,.528,.805,409,331,82,52,149,168,1268
33,Nicolas Batum\batumni01,SG,64,1981,.486,.831,306,349,65,23,131,72,740
34,Jerryd Bayless\bayleje01,SG,39,925,.519,.795,80,54,23,6,46,91,307
35,Aron Baynes\baynear01,C,81,1485,.474,.756,434,93,22,51,80,200,482
36,Kent Bazemore\bazemke01,SG,65,1789,.500,.796,248,228,100,45,157,147,836
37,Bradley Beal\bealbr01,SG,82,2977,.527,.791,363,373,96,36,214,160,1857
38,Malik Beasley\beaslma01,SG,62,583,.489,.667,71,31,15,7,24,36,196
39,Michael Beasley\beaslmi01,PF,74,1653,.528,.780,414,123,36,43,143,145,976
40,Marco Belinelli\belinma01,SG,80,1947,.539,.908,151,148,66,12,94,91,971
40,Marco Belinelli\belinma01,SG,52,1210,.505,.927,100,103,46,3,54,41,591
40,Marco Belinelli\belinma01,SG,28,737,.597,.870,51,45,20,9,40,50,380
41,Jordan Bell\belljo01,C,57,809,.627,.682,207,102,35,56,51,92,262
42,DeAndre' Bembry\bembrde01,SF,26,455,.457,.576,72,49,21,12,47,38,136
43,Dragan Bender\bendedr01,PF,82,2069,.508,.765,361,130,22,53,112,166,531
44,Davis Bertans\bertada01,PF,77,1086,.568,.816,153,74,26,28,36,93,456
45,Patrick Beverley\beverpa01,SG,11,334,.504,.824,45,32,19,5,25,34,134
46,Khem Birch\birchkh01,C,42,578,.540,.689,180,34,15,21,21,56,178
47,Jabari Bird\birdja01,SG,13,115,.635,.462,19,8,3,1,8,7,39
48,Bismack Biyombo\biyombi01,C,82,1495,.520,.650,468,66,21,95,84,158,468
49,Nemanja Bjelica\bjeline01,PF,67,1371,.563,.800,274,86,50,16,52,141,454
50,Tarik Black\blackta01,C,51,536,.594,.460,163,13,21,30,35,107,180
51,Antonio Blakeney\blakean01,SG,19,314,.423,.769,33,20,7,1,11,19,151
52,Eric Bledsoe\bledser01,PG,74,2322,.536,.795,284,370,149,42,216,185,1313
52,Eric Bledsoe\bledser01,PG,3,83,.450,.786,7,9,4,2,10,6,47
52,Eric Bledsoe\bledser01,PG,71,2239,.540,.795,277,361,145,40,206,179,1266
53,Vander Blue\blueva01,SG,5,45,.200,.500,1,3,1,0,3,2,3
54,Bogdan Bogdanovic\bogdabo01,SG,78,2175,.529,.840,223,258,72,16,125,172,917
55,Bojan Bogdanovic\bogdabo02,SF,80,2464,.565,.868,270,119,55,8,106,129,1141
56,Andrew Bogut\bogutan01,C,23,216,.680,1.000,78,15,4,13,19,40,36
57,Joel Bolomboy\bolomjo01,PF,6,38,.500,.500,10,0,2,0,2,3,9
58,Devin Booker\bookede01,SG,54,1865,.501,.878,244,253,47,14,194,168,1346
59,Trevor Booker\booketr01,PF,68,1158,.528,.710,318,82,28,21,59,119,428
59,Trevor Booker\booketr01,PF,18,395,.523,.558,119,38,8,5,30,43,181
59,Trevor Booker\booketr01,PF,33,494,.569,.821,122,27,16,11,20,50,156
59,Trevor Booker\booketr01,PF,17,269,.482,.909,77,17,4,5,9,26,91
60,Chris Boucher\bouchch01,PF,1,1,.000,,1,0,0,0,0,0,0
61,Avery Bradley\bradlav01,SG,46,1433,.474,.768,116,94,51,8,101,92,656
61,Avery Bradley\bradlav01,SG,40,1268,.474,.763,94,83,46,7,93,80,601
61,Avery Bradley\bradlav01,SG,6,165,.482,1.000,22,11,5,1,8,12,55
62,Tony Bradley\bradlto01,C,9,29,.273,1.000,11,1,0,0,0,1,8
