#;Country (or dependency);Population;Yearly;Net;Density;Land Area;Migrants;Fert.;Med.;Urban;World
;;-2018;Change;Change;(P/Km?);(Km?);(net);Rate;Age;Pop %;Share
1;Russia;143,964,709;-0.02 %;-25,045;9;16,376,870;203,577;1.jul;39;73%;1.89 %
2;Germany;82,293,457;0.22 %;179,233;236;348,56;355,425;1.apr;46;76%;1.08 %
3;U.K.;66,573,504;0.59 %;391,919;275;241,93;198;1.sep;40;81%;0.87 %
4;France;65,233,271;0.39 %;253,723;119;547,557;72,344;2.0;41;80%;0.85 %
5;Italy;59,290,969;-0.12 %;-68,931;202;294,14;52,829;1.apr;46;72%;0.78 %
6;Spain;46,397,452;0.09 %;43,131;93;498,8;-114;1.mar;43;82%;0.61 %
7;Ukraine;44,009,214;-0.48 %;-213,733;76;579,32;-40;1.maj;40;70%;0.58 %
8;Poland;38,104,832;-0.17 %;-65,88;124;306,23;-14,799;1.mar;40;61%;0.50 %
9;Romania;19,580,634;-0.50 %;-98,672;85;230,17;-59,999;1.maj;41;60%;0.26 %
10;Netherlands;17,084,459;0.28 %;48,521;507;33,72;12,537;1.jul;42;91%;0.22 %
11;Belgium;11,498,519;0.61 %;69,183;380;30,28;51,734;1.avg;41;96%;0.15 %
12;Greece;11,142,161;-0.16 %;-17,612;86;128,9;-32,36;1.mar;43;78%;0.15 %
13;Czech Republic;10,625,250;0.07 %;6,947;138;77,24;11,999;1.maj;41;74%;0.14 %
14;Portugal;10,291,196;-0.37 %;-38,31;112;91,59;-28;1.mar;44;67%;0.13 %
15;Sweden;9,982,709;0.73 %;72,008;24;410,34;50,792;1.sep;41;85%;0.13 %
16;Hungary;9,688,847;-0.34 %;-32,712;107;90,53;6;1.mar;42;73%;0.13 %
17;Belarus;9,452,113;-0.17 %;-16,225;47;202,91;15,16;1.jun;40;75%;0.12 %
18;Serbia;8,762,027;-0.32 %;-28,547;100;87,46;-20;1.jun;40;59%;0.11 %
19;Austria;8,751,820;0.19 %;16,367;106;82,409;53,434;1.apr;43;65%;0.11 %
20;Switzerland;8,544,034;0.80 %;68,029;216;39,516;79,453;1.maj;42;73%;0.11 %
21;Bulgaria;7,036,848;-0.67 %;-47,723;65;108,56;-4,894;1.maj;43;74%;0.09 %
22;Denmark;5,754,356;0.36 %;20,805;136;42,43;21,368;1.jul;42;87%;0.08 %
23;Finland;5,542,517;0.35 %;19,286;18;303,89;16,283;1.avg;42;84%;0.07 %
24;Slovakia;5,449,816;0.04 %;2,154;113;48,088;2,269;1.apr;39;54%;0.07 %
25;Norway;5,353,363;0.90 %;47,98;15;365,268;44,363;1.avg;39;79%;0.07 %
26;Ireland;4,803,748;0.88 %;42,091;70;68,89;-27,999;2.0;37;64%;0.06 %
27;Croatia;4,164,783;-0.59 %;-24,57;74;55,96;-6,554;1.maj;43;60%;0.05 %
28;Moldova;4,041,065;-0.25 %;-10,147;123;32,85;-1,906;1.mar;36;38%;0.05 %
29;Bosnia & Herzegovina;3,503,554;-0.10 %;-3,463;69;51;-32,274;1.mar;41;44%;0.05 %
30;Albania;2,934,363;0.14 %;4,176;107;27,4;-18,685;1.jul;36;65%;0.04 %
31;Lithuania;2,876,475;-0.48 %;-13,822;46;62,674;-29,243;1.jun;43;69%;0.04 %
32;TFYR Macedonia;2,085,051;0.09 %;1,891;83;25,22;-1,771;1.maj;37;58%;0.03 %
33;Slovenia;2,081,260;0.06 %;1,284;103;20,14;3,314;1.jun;43;50%;0.03 %
34;Latvia;1,929,938;-1.01 %;-19,732;31;62,2;-16,665;1.maj;43;70%;0.03 %
35;Estonia;1,306,788;-0.22 %;-2,844;31;42,39;-2,103;1.jun;42;66%;0.02 %
36;Montenegro;629,219;0.04 %;259;47;13,45;-622;1.jul;38;64%;0.01 %
37;Luxembourg;590,321;1.18 %;6,866;228;2,59;9,741;1.maj;39;86%;0.01 %
38;Malta;432,089;0.29 %;1,254;1,35;320;1,889;1.apr;41;96%;0.01 %
39;Iceland;337,78;0.82 %;2,755;3;100,25;-433;2.0;36;96%;0.00 %
40;Channel Islands;166,083;0.47 %;769;874;190;731;1.maj;43;31%;0.00 %
41;Isle of Man;84,831;0.65 %;544;149;570;;N.A.;N.A.;54%;0.00 %
42;Andorra;76,953;-0.02 %;-12;164;470;;N.A.;N.A.;90%;0.00 %
43;Faeroe Islands;49,489;0.40 %;199;35;1,396;;N.A.;N.A.;43%;0.00 %
44;Monaco;38,897;0.52 %;202;26,105;1;;N.A.;N.A.;N.A.;0.00 %
45;Liechtenstein;38,155;0.61 %;233;238;160;;N.A.;N.A.;14%;0.00 %
46;Gibraltar;34,733;0.47 %;162;3,473;10;;N.A.;N.A.;85%;0.00 %
47;San Marino;33,557;0.47 %;157;559;60;;N.A.;N.A.;90%;0.00 %
48;Holy See;801;1.14 %;9;2,003;0;;N.A.;N.A.;N.A.;0.00 %
