Rk,Player,Pos,G,GS,MP,FGA,eFG%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alex Abrines\abrinal01,SG,75,8,1134,291,.540,46,.848,114,28,38,8,25,124,353
2,Quincy Acy\acyqu01,PF,70,8,1359,365,.496,60,.817,257,57,33,29,60,149,411
3,Steven Adams\adamsst01,C,76,76,2487,712,.629,286,.559,685,88,92,78,128,215,1056
4,Bam Adebayo\adebaba01,C,69,19,1368,340,.512,179,.721,381,101,32,41,66,138,477
5,Arron Afflalo\afflaar01,SG,53,3,682,162,.485,26,.846,66,30,4,9,21,56,179
6,Cole Aldrich\aldrico01,C,21,0,49,15,.333,6,.333,15,3,2,1,1,11,12
7,LaMarcus Aldridge\aldrila01,C,75,75,2509,1347,.520,399,.837,635,152,43,90,111,161,1735
8,Jarrett Allen\allenja01,C,72,31,1441,397,.596,147,.776,388,49,28,88,82,147,587
9,Kadeem Allen\allenka01,PG,18,1,107,22,.273,9,.778,11,12,3,2,9,15,19
10,Tony Allen\allento01,SF,22,0,273,91,.505,21,.524,47,9,11,3,19,49,103
11,Al-Farouq Aminu\aminual01,PF,69,67,2072,582,.503,80,.738,525,84,79,40,79,136,644
12,Justin Anderson\anderju01,SF,38,0,519,202,.515,38,.737,93,25,15,7,16,54,236
13,Kyle Anderson\anderky01,SF,74,67,1978,438,.549,146,.712,396,202,115,60,94,114,585
14,Ryan Anderson\anderry01,PF,66,50,1725,480,.568,93,.774,331,60,24,21,42,126,617
15,Ike Anigbogu\anigbik01,C,11,0,30,9,.444,6,.833,9,0,1,3,2,1,13
16,Giannis Antetokounmpo\antetgi01,PF,75,75,2756,1402,.545,641,.760,753,361,109,106,223,231,2014
17,Carmelo Anthony\anthoca01,PF,78,78,2501,1168,.476,193,.767,453,103,47,49,99,197,1261
18,OG Anunoby\anunoog01,SF,74,62,1481,346,.577,62,.629,184,55,52,14,45,130,438
19,Ryan Arcidiacono\arcidry01,PG,24,0,304,41,.524,6,.833,25,35,13,0,13,18,48
20,Trevor Ariza\arizatr01,SF,67,67,2269,651,.542,89,.854,294,105,98,13,52,132,782
21,Darrell Arthur\arthuda01,PF,19,1,141,47,.553,3,.667,15,9,8,3,15,22,54
22,Jamel Artis\artisja01,SG,15,1,279,79,.443,12,.583,38,18,2,3,8,11,77
23,Omer Asik\asikom01,C,18,0,182,22,.409,13,.308,47,3,2,4,9,20,22
23,Omer Asik\asikom01,C,14,0,121,16,.438,12,.333,37,2,1,2,5,14,18
23,Omer Asik\asikom01,C,4,0,61,6,.333,1,.000,10,1,1,2,4,6,4
24,D.J. Augustin\augusdj01,PG,75,36,1760,540,.557,189,.868,160,287,54,0,123,94,766
25,Luke Babbitt\babbilu01,SF,50,14,715,215,.563,22,.773,96,31,8,7,19,54,259
25,Luke Babbitt\babbilu01,SF,37,9,570,168,.622,22,.773,81,26,7,5,15,47,226
25,Luke Babbitt\babbilu01,SF,13,5,145,47,.351,0,,15,5,1,2,4,7,33
26,Dwayne Bacon\bacondw01,SG,53,6,713,192,.404,25,.800,124,38,16,2,23,46,175
27,Ron Baker\bakerro01,SG,29,1,385,59,.432,26,.769,30,47,26,6,18,33,71
28,Wade Baldwin\baldwwa01,PG,7,0,80,21,.762,10,.600,8,5,2,1,4,12,38
29,Lonzo Ball\balllo01,PG,52,50,1780,564,.440,71,.451,360,376,88,43,136,117,528
30,J.J. Barea\bareajo01,PG,69,10,1603,690,.522,102,.784,201,434,35,3,143,83,801
31,Harrison Barnes\barneha02,PF,77,77,2634,1208,.494,313,.827,468,152,49,14,118,94,1452
32,Will Barton\bartowi01,SG,81,40,2683,1028,.528,226,.805,409,331,82,52,149,168,1268
33,Nicolas Batum\batumni01,SG,64,64,1981,650,.486,130,.831,306,349,65,23,131,72,740
34,Jerryd Bayless\bayleje01,SG,39,11,925,262,.519,44,.795,80,54,23,6,46,91,307
35,Aron Baynes\baynear01,C,81,67,1485,446,.474,78,.756,434,93,22,51,80,200,482
36,Kent Bazemore\bazemke01,SG,65,65,1789,676,.500,201,.796,248,228,100,45,157,147,836
37,Bradley Beal\bealbr01,SG,82,82,2977,1484,.527,369,.791,363,373,96,36,214,160,1857
38,Malik Beasley\beaslma01,SG,62,0,583,178,.489,33,.667,71,31,15,7,24,36,196
39,Michael Beasley\beaslmi01,PF,74,30,1653,807,.528,159,.780,414,123,36,43,143,145,976
